id,code,questionId,word,data,createdAt,type
cmjgjhme00053knhmtjkq2i4c,aar132,,toy,"{""code"":""aar132"",""word"":""toy"",""check"":[{""word"":""toy"",""isCorrect"":true,""timeTaken"":7}],""endTime"":1766304461,""gameType"":""typing"",""backspace"":[],""sessionId"":""aar132-mjffyyc9-puo3fa"",""startTime"":1766304454,""submitted"":false,""submittedAt"":""2025-12-21T08:07:41.934Z"",""speakerClicks"":0}",2025-12-21 08:07:41.934,typing
cmjgjhmes0054knhmkvqalj4n,aar132,,boat,"{""code"":""aar132"",""word"":""boat"",""check"":[{""word"":""boat"",""isCorrect"":true,""timeTaken"":29}],""endTime"":1766304524,""gameType"":""typing"",""backspace"":[],""sessionId"":""aar132-mjffyyc9-puo3fa"",""startTime"":1766304495,""submitted"":false,""submittedAt"":""2025-12-21T08:08:45.844Z"",""speakerClicks"":4}",2025-12-21 08:08:45.844,typing
cmjgjhmeu0055knhmgmu86zqv,vis123,,modern,"{""code"":""vis123"",""word"":""modern"",""check"":[{""word"":""moeder"",""isCorrect"":false,""timeTaken"":15},{""word"":""mondre"",""isCorrect"":false,""timeTaken"":69}],""endTime"":1766324262,""gameType"":""typing"",""backspace"":[""mom""],""sessionId"":""vis123-mjfrsgxe-omtod9"",""startTime"":1766324193,""submitted"":false,""submittedAt"":""2025-12-21T13:37:47.994Z"",""speakerClicks"":2}",2025-12-21 13:37:47.994,typing
cmjgjhmex0056knhmhw69w5p8,vis123,,vacation,"{""code"":""vis123"",""word"":""vacation"",""check"":[{""word"":""vacnaion"",""isCorrect"":false,""timeTaken"":19},{""word"":""vacation"",""isCorrect"":true,""timeTaken"":41}],""endTime"":1766324412,""gameType"":""typing"",""backspace"":[""vacnq"",""vacnat""],""sessionId"":""vis123-mjfrsgxe-omtod9"",""startTime"":1766324371,""submitted"":false,""submittedAt"":""2025-12-21T13:40:13.783Z"",""speakerClicks"":0}",2025-12-21 13:40:13.783,typing
cmjgjhmf00057knhmk7nfw2l2,vis123,,company,"{""code"":""vis123"",""word"":""company"",""check"":[{""word"":""company"",""isCorrect"":true,""timeTaken"":18}],""endTime"":1766324451,""gameType"":""typing"",""backspace"":[],""sessionId"":""vis123-mjfrsgxe-omtod9"",""startTime"":1766324433,""submitted"":false,""submittedAt"":""2025-12-21T13:40:52.048Z"",""speakerClicks"":2}",2025-12-21 13:40:52.048,typing
cmjgjhmf40058knhmxvxa5bbe,mut123,,laugh,"{""code"":""mut123"",""word"":""laugh"",""check"":[{""word"":""laugh"",""isCorrect"":true,""timeTaken"":75}],""endTime"":2014494933,""gameType"":""typing"",""backspace"":[],""sessionId"":""mut123-ppg220zl-f4tv8v"",""startTime"":2014494858,""submitted"":false,""submittedAt"":""2033-11-01T21:55:40.267Z"",""speakerClicks"":2}",2033-11-01 21:55:40.267,typing
cmjgjhmf70059knhmslyziv4y,aar132,,apple,"{""code"":""aar132"",""word"":""apple"",""check"":[{""word"":""apple"",""isCorrect"":true,""timeTaken"":11}],""endTime"":1766304483,""gameType"":""typing"",""backspace"":[],""sessionId"":""aar132-mjffyyc9-puo3fa"",""startTime"":1766304472,""submitted"":false,""submittedAt"":""2025-12-21T08:08:04.014Z"",""speakerClicks"":0}",2025-12-21 08:08:04.014,typing
cmjgjhmfa005aknhmhwpslqy3,vis123,,career,"{""code"":""vis123"",""word"":""career"",""check"":[{""word"":""tuerue"",""isCorrect"":false,""timeTaken"":17},{""word"":""iuwrut"",""isCorrect"":false,""timeTaken"":33}],""endTime"":1766324516,""gameType"":""typing"",""backspace"":[""tur"",""tueruw""],""sessionId"":""vis123-mjfrsgxe-omtod9"",""startTime"":1766324483,""submitted"":false,""submittedAt"":""2025-12-21T13:41:59.571Z"",""speakerClicks"":6}",2025-12-21 13:41:59.571,typing
cmjgjhmfd005bknhmv6seibmq,vis123,,scientist,"{""code"":""vis123"",""word"":""scientist"",""check"":[{""word"":""sisctuery"",""isCorrect"":false,""timeTaken"":62},{""word"":""sseywiscy"",""isCorrect"":false,""timeTaken"":90}],""endTime"":1766324362,""gameType"":""typing"",""backspace"":[""sa""],""sessionId"":""vis123-mjfrsgxe-omtod9"",""startTime"":1766324272,""submitted"":false,""submittedAt"":""2025-12-21T13:39:23.741Z"",""speakerClicks"":0}",2025-12-21 13:39:23.741,typing
